"system:index","RTENAME","RTENO","area","year",".geo"
130,"CHESTNUT",53039,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,"CHEWELAH",89008,11.713702621001838,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,"COQUILLE",69217,8.896215745174633,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,"DONNELLY",69247,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,"ELK LAKE",69052,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,"ELLISTON",53027,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,"GARFIELD",69041,16.039331381066173,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,"HARTLINE",89056,0.592100495526961,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,"HIGHWOOD",53018,0.04059218022365196,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,"KAMILCHE",89010,11.107692814583327,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,"KEYSTONE",89057,0.6310902369025735,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,"LAKEVIEW",69253,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,"MONTAGUE",69044,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,"MONUMENT",69240,0.35185944255514706,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,"MUD LAKE",33221,8.525642200520839,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,"MUKILTEO",89072,15.339892223728564,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,"NEWHALEM",89004,12.05700795922182,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,"NEZPERCE",33005,1.7809563604166665,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,"NINEMILE",53064,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,"PACKWOOD",89043,1.2179281458792897,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,"POTHOLES",89063,6.046932865762878,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,"PRESCOTT",89046,0.15720109903492643,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,"PROSPECT",69251,0.5392611535539216,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,"RED ROCK",53047,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,"SKALKAHO",53076,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,"SQUIRREL",33016,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,"ST REGIS",53013,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,"TONASKET",89030,5.329328824479166,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,"TRIANGLE",33023,0.06606948572303921,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,"TUALATIN",69002,14.398356935003068,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,"UMATILLA",69105,2.240306871155024,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,"WALDPORT",69209,5.755434549494487,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,"WINBERRY",69019,11.885794314261643,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,"WINTHROP",89029,0.2544665421721814,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,"BALD MTN.",69220,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,"BALD MTN.",55101,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,"BARNHOUSE",69213,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,"BICKLETON",89026,0.13271268048406865,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,"CAPE HORN",33012,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,"CARNATION",89111,15.208255281862735,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,"CHINCHALO",69252,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,"COOL CAMP",69010,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,"DECEPTION",89905,15.191467304365815,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,"DEER PARK",89077,17.214137999662995,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,"DESCHUTES",69011,0.01139020749080882,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,"EIGHTMILE",69045,0.24107400477941177,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,"FISH LAKE",69062,5.38290057210478,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,"FISH LAKE",69244,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,"GREENOUGH",53905,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,"HASH ROCK",69112,0.4598907110600491,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,"IRON GATE",14900,0.9250221328431374,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,"JARBRIDGE",55037,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,"KALISPELL",53002,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,"LIBBY DAM",53001,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,"LOLO PASS",33006,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,"LONE ROCK",69004,0.7670004611979168,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,"MAGIC MTN",33025,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,"MONTESAND",89133,10.616518809941793,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,"MT. ADAMS",89080,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,"NEWBRIDGE",69215,3.6623805280943618,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,"NIGHTHAWK",89050,9.367710271951587,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,"NORTHPORT",89071,6.936907269240199,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,"PENDLETON",69046,6.9604273598652,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,"POCATELLO",33027,2.6521582874387253,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,"SCAPPOOSE",69904,13.24950046625307,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,"SHEAVILLE",69249,0.4211225604779412,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,"SHELLROCK",69003,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,"SNOWVILLE",85302,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,"SUMMIT PR",69136,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,"WAGONTIRE",69022,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,"WAITSBURG",89183,13.875109879365787,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,"BATTLE MTN",69063,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,"BEAVERHEAD",53046,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,"BLACK MTN.",69234,0.9486772678615196,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,"BLUE RIVER",69210,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,"BRIDGEPORT",69015,5.4451490931678945,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,"CATLOW RIM",69231,0.22950860078125,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,"CEDAR HILL",33225,1.431354856479779,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,"CLEARWATER",69051,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,"CLOVERLAND",89084,3.004684165395222,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,"COLTER BAY",92008,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,"DAYS CREEK",69026,2.8785395235140943,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,"DESOLATION",69241,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,"DONNYBROOK",69239,1.5462705130821075,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,"DOUGAL RES",33223,0.05821128351715686,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,"ELLENSBURG",89044,1.586227305284926,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,"FISH CREEK",53075,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,"FLOOK LAKE",69254,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,"GREEN MTN.",69221,0.3358052631433823,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,"HARRINGTON",89015,0.1902093284620098,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,"HAZEL CAMP",69057,15.468353599310658,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,"HOT SPRING",33224,0.22292414745710784,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,"LOGAN PASS",53900,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,"LOST RIVER",33902,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,"MOSES LAKE",89014,7.116377977113981,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,"MT RAINIER",89061,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,"OMAK CREEK",89069,1.9548882387101716,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,"PABLO RES.",53074,14.47349711804535,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,"RILEY PEAK",69902,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,"SECRET VAL",69058,2.7181902733762255,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,"SOUTH ELMA",89041,17.989547143443655,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,"TWIN LAKES",89031,2.553026588648897,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,"VASHON IS.",89907,14.547957505530018,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,"WARM BEACH",89003,15.921947137346798,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,"WEDDERBURN",69025,6.463954541053917,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,"WISE RIVER",53087,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,"ALVORD LAKE",69031,0.07604634895833334,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,"BLACKFT RES",33128,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,"BUNKER HILL",89017,8.817776683425244,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,"CASCADE RIV",89902,3.9345123682291656,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,"CEDAR FALLS",89054,6.599882194561886,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,"CENTERVILLE",33018,3.2899538731311275,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,"CIRCULAR BU",33904,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,"CRANE CREEK",33211,0.5142411818474264,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,"DANIELS RES",33227,0.4639724708486519,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,"DAVIS CREEK",14165,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,"DELL SPRING",69020,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,"EAGLE CREEK",69235,0.05848415647977941,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,"ECKLER MTN.",89147,0.5908574838082107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,"EMIGRANT LK",69059,2.6034166393229157,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,"GRANGEVILLE",33007,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,"GREAT FALLS",53017,0.19663937688419111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,"HARNEY LAKE",69222,1.2848106144607845,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,"HUMBOLDT NF",55902,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,"INSIDE ROAD",53800,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,"JOHNSON CAN",85102,0.0299116118872549,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,"KYLE CANYON",33903,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,"LAKE CHELAN",89113,8.996860316544119,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,"LAPHAM RES.",69139,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,"LEAVENWORTH",89036,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,"MALHEUR NWR",69155,2.1985640486672793,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,"MCMINNVILLE",69233,10.338195156801472,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,"MODOC POINT",69028,3.0457480220128685,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,"NEZPERCE NF",33109,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,"NO CASCADES",89903,0.05892125477941176,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,"QUARTZ MTN.",69224,0.06977028943014707,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,"SAMS VALLEY",69127,8.171031242784927,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,"SANDY RIVER",69900,13.830942585983449,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,"SHELDON NWR",55903,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,"SILVER CITY",33217,0.20749283512561276,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,"SPRING LAKE",89047,1.2286738665594363,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,"SPRINGFIELD",33021,7.393826248314951,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,"SULLIVAN LK",89052,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,"THREE FORKS",69256,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,"TROUT CREEK",69255,0.881921268091299,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,"TWIN BUTTES",33901,0.3542543430300246,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,"WALLA WALLA",89083,0.4681574568627451,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,"WARNER MTN.",69219,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,"WHITE CHUCK",89048,0.525363885814951,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,"YELLOW PINE",33212,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,"ARID LAND ER",89901,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,"BADGER CREEK",69203,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
